"id","answers","category","correct_answer","prompt","url","notes ",comments
"015","[{""S"":""Bill""},{""S"":""Joe""},{""S"":""Max""},{""S"":""Thark""}]","Aliens","2","What is the name of the crystal skull that communicates with its owner?","https://cttg.site/GameApartAliens1.pdf",,
"044","[{""S"":""Dragon""},{""S"":""Unicorn""},{""S"":""Phoenix""},{""S"":""Gorn""}]","Mythos","1","North Korean Academy of Social Sciences comfirmed the discovery of what creature's lair?","https://cttg.site/GameApartMythos5.pdf",,
"082","[{""S"":""Brazil""},{""S"":""Antarctica""},{""S"":""Inside the Hollow Earth""},{""S"":""On the far side of the moon""}]","Schemes","1","The Nazi base called ""New Swabia,"" which conspiracists claim is where Hitler hid after the war, is located where?","https://cttg.site/GameApartSchemes1.pdf",,
"022","[{""S"":""Chess""},{""S"":""Operation""},{""S"":""Checkers""},{""S"":""Dominion""}]","Aliens","0","What board game was invented by aliens?","https://cttg.site/GameApartAliens6.pdf",,
"108","[{""S"":""The Portal Gun""},{""S"":""Zero Point Energy""},{""S"":""Warp Nacelle Technology""},{""S"":""Atmospheric Carbon Reducers""}]","Tech","1","Former NASA Astronaut Edgar Mitchell claims that ""benevolent aliens"" want to share what technology with us?","https://cttg.site/GameApartTech3.pdf",,
"078","[{""S"":""Toilet Paper""},{""S"":""Bottled Water""},{""S"":""Fluoride""},{""S"":""Cell phones""}]","Schemes","3","Conspiracists claim the government is suppressing proof that cancer is caused by what?","https://cttg.site/GameApartSchemes4.pdf",,
"115","[{""S"":""Cosmic Consciousness""},{""S"":""Chakra Fractals""},{""S"":""Timewave Zero""},{""S"":""Psilocyber""}]","Tech","2","After shrooming out and gaining alien knowledge, Terence McKenna developed what software program to predict the future?","https://cttg.site/GameApartTech2.pdf",,
"071","[{""S"":""Zsa Zsa Gabor""},{""S"":""Marilyn Monroe""},{""S"":""Elizabeth Taylor""},{""S"":""Christopher Walken""}]","Random","3","Actress Natalie Woods mysteriously died just hours after finding her husband Robert Wagner in bed with whom?","https://cttg.site/GameApartRandom1.pdf",,
"092","[{""S"":""Yoga""},{""S"":""Vipassana""},{""S"":""Falun Gong ""},{""S"":""Taoist""}]","Schemes","2","China is harvesting the organs of prisoners who follow what meditation practice?","https://cttg.site/GameApartSchemes2.pdf",,
"118","[{""S"":""Exploding Kittens""},{""S"":""Cyborg Locusts""},{""S"":""Cybernetic German Shepards""},{""S"":""Dolphin-powered Zodiak Boats""}]","Tech","1","In 2016, the U.S. Office of Naval Research allocated $750,000 to develop what new hybrid-animal technology?","https://cttg.site/GameApartTech3.pdf",,
"106","[{""S"":""Vault 7""},{""S"":""Spygate""},{""S"":""Series 17""},{""S"":""Tech Rep 17""}]","Tech","0","What was the name given to the Wikileaks drop that proved all of our technology is spying on us?","https://cttg.site/GameApartTech5.pdf",,
"110","[{""S"":""Twisted Periscope""},{""S"":""Interdimensional Cable""},{""S"":""The Wormhole Visor""},{""S"":""Looking Glass""}]","Tech","3","What is the codename for the technology allows the observer to see into the past and into the potential futures?","https://cttg.site/GameApartTech3.pdf",,
"116","[{""S"":""A Morphic Field""},{""S"":""Harmonic Essence""},{""S"":""Qi Energy""},{""S"":""Psyonic Waves""}]","Tech","2","What force does Chulin Sun mentally project to make plant seeds to grow shoots and roots in less than 20 minutes?","https://cttg.site/GameApartTech6.pdf",,
"076","[{""S"":""Old Scratchy""},{""S"":""Darth Maul""},{""S"":""Deep Throat""},{""S"":""The Smoking Man""}]","Schemes","2","What was the codename of the informant that provided proof of the Watergate Scandal?","https://cttg.site/GameApartSchemes5.pdf",,
"084","[{""S"":""His Q-Level Security clearance""},{""S"":""His desire to help like the Star Trek character \""Q\""""},{""S"":""The need for everyone to Question everything""},{""S"":""Queen, the best band of ALL TIME""}]","Schemes","0","The secret source behind the QAnon Deep State conspiracy theory claims his code name Q is a reference to what?","https://cttg.site/GameApartSchemes1.pdf",,
"031","[{""S"":""Dwarves""},{""S"":""Mermaids""},{""S"":""Fairies""},{""S"":""Wicked Witches""}]","Mythos","2","Walt Disney was a member of a group that documented the sightings of what creature?","https://cttg.site/GameApartMythos1.pdf",,
"045","[{""S"":""23""},{""S"":""89""},{""S"":""309""},{""S"":""1278""}]","Mythos","2","What is the largest number of people that vanished in a single incident in the Bermuda Triangle?","https://cttg.site/GameApartMythos4.pdf",,
